DIST_CODE,DISTRICT,year,month,T_C_mean,Tmin_C_mean,Tmax_C_mean,Tmax_C_max,RH_mean,RH_min,RH_max,SM1_mean,SM2_mean,HI_mean_C,HI_max_C,P_total_mm,RX1day,RX5day,Rain_days,SDII,CDD,CWD,R95p,R99p,TX90p,WSDI_like,SPI_1,SPI_3,SPI_6,SPI_12,SSI_3,SSI_6,SSI_12
110012,Senanga,1981,1,22.855687828676064,19.05556634554118,27.486881056335132,29.606525348568457,78.07138734921774,61.51253103783738,89.66929737847245,0.3361659617309874,0.3279308984110396,23.047151278459687,25.606435709166927,137.47546214545977,16.971817169146327,65.0394170126579,16,8.592216384091236,5,8,75.03630252376269,,0.0,0,0.9975302669567306,,,,,,
110012,Senanga,1981,2,21.84393385204529,18.90358492812459,26.00641408041501,28.976183297550964,83.64337029082557,72.56862544108982,93.71803944447156,0.36450405676497544,0.3674471127423504,21.362047729152234,24.095972847040073,208.18010979544945,41.11941930144684,99.6418830322731,21,9.91333856168807,3,6,132.4505895500337,72.55765301852517,0.0,0,1.284362276303325,,,,,,
110012,Senanga,1981,3,22.232007487273425,18.819021730918468,26.755881534717147,28.616845762642097,79.15307382769748,67.0473439014451,90.55482376513072,0.3329459733376257,0.3337023308497085,22.407419551701466,24.576077609795156,165.2387201711183,37.29097095564249,95.41351175222047,13,12.710670782393716,5,6,120.1071284050962,67.64244666971926,0.0,0,1.1184172139805084,1.1710904824202966,,,1.8415109759911206,,
110012,Senanga,1981,4,21.65074015429263,16.41322205105676,27.12022103901561,29.135680973892235,58.81501261434694,45.665402973840784,77.99306958183928,0.19898489203218142,0.23593189733943523,24.37386488618585,25.027361466391362,20.221732225357766,4.453485229610916,10.353197344156895,6,3.370288704226294,9,2,,,0.0,0,0.15499948762877003,0.9734680495193004,,,1.3085916583098234,,
110012,Senanga,1981,5,19.676134450373336,13.87191811933608,25.685807085813718,30.07490201325006,48.162311703910056,36.73468239506666,58.17853237001909,0.11668163196511386,0.1661814014768132,25.333622641715326,25.73114270986389,0.0173970792241738,0.0086985396120869,3.706683772006043,0,,31,0,,,0.0,0,-0.5723463331739845,0.5007206766049731,,,0.34585417696172116,,
110012,Senanga,1981,6,17.360350806357403,10.82856194933015,24.289235752037882,30.24607712803841,43.50017451485046,32.11457756852755,50.623711620419925,0.09921198606370919,0.13829877689231512,26.86679621201071,29.339500887763467,0.0,0.0,0.0,0,,30,0,,,13.333333333333334,0,-0.6172997419177134,-0.3680734740798906,0.622686236053568,,-0.5621527170684167,0.919289263942881,
110012,Senanga,1981,7,17.65602377736888,10.935438026950933,24.71248963819423,27.081508294797008,40.07801056295545,33.64882789607608,47.49784929026951,0.09642098479065292,0.12639871373565945,26.1884332404351,27.434486874421864,0.0,0.0,0.0,0,,31,0,,,0.0,0,-0.6172997419177134,-1.1908650381245505,0.28567288046897094,,-0.9605917115003065,0.25229517713341326,
110012,Senanga,1981,8,21.814587682930707,14.554360938461162,29.38401783254936,32.92135663464685,31.437182854973422,22.63096170490389,42.4492902499479,0.09456295810423221,0.11977998469593894,24.82317558540638,26.18157429186714,0.0,0.0,0.0,0,,31,0,,,9.67741935483871,0,-0.6172997419177134,-1.2607264874417548,-0.4311389443835309,,-1.046518061308168,-0.4987074878290978,
110012,Senanga,1981,9,24.233804523929177,16.669509210468195,31.67147777114549,36.63292726678775,25.860817578796023,15.236860763210816,51.670145361104346,0.0946616947220072,0.11590781999429318,25.60385626502131,27.000001364987234,0.0,0.0,0.0,0,,30,0,,,16.666666666666664,0,-0.6172997419177134,-1.2607264874417548,-1.8842977825146736,,-1.0641949766609577,-1.1616377683489327,
110012,Senanga,1981,10,26.93956052650233,20.41742095696963,33.31491912329881,35.71151453691176,34.6328443172101,23.639861159150957,50.93597363791017,0.10585074021086553,0.11378256437398292,26.63814722674248,27.49782089188282,13.731701195879625,3.503107241680116,4.779056026394008,6,2.2886168659799373,7,2,,,0.0,0,0.048486208728935797,-0.4700500665935352,-2.0779404190892476,,-1.02756237979118,-1.4207461314838683,
110012,Senanga,1981,11,25.384336930304066,20.129550995225596,31.188904803580336,37.34760917846975,56.25421282275206,14.253852408601004,81.43124903133456,0.2160774016307732,0.1776281341922086,25.333119749819087,28.467267898579834,54.97019522597943,14.713032665705134,37.70776047324275,13,4.228476555844572,9,9,14.713032665705134,,20.0,6,0.515239709947126,0.037998775472504714,-1.172892251306171,,-0.5555045771018745,-1.1442173321448528,
110012,Senanga,1981,12,24.786020904818297,19.772719486600064,30.334899292142804,33.38452123710762,63.47926198240549,38.77397451914798,80.54272595295875,0.256790245168836,0.254710258265728,25.441794995277846,27.893585931225445,44.0117886943171,7.395256380452536,15.34527708816299,12,3.6676490578597583,7,2,,,25.806451612903224,6,0.42269114270330455,0.25000105372889314,-0.8265989054279335,-0.9929758618014434,0.0743304042879362,-0.7058191292953014,0.5200755483182223
